publication,author,content
podcast,Trevor Milton,"The most important [sic] is that I fully control the board at all times and have people who work well with my personality….No one sees the future like I do, and if you get too many world class brilliant people on the board, you will end up fighting over everything as they think they are the smartest in the room every time."
podcast,Trevor Milton,"I’m not trying to ever be too confident or – or brag about things, but this is important to help you understand that answer. There’s two people in this world that know EVs better than anyone, and that’s Elon and myself. There’s no one in this world that – I can go into any meeting with Volkswagen, Daimler, Volvo. You could put 30 PhDs in that room, and I would run circles around every one of them. Because they only know one thing, that’s all they know. . . . So there’s very few people that know the EV industry or the whole entire vehicle like I do or like Elon does, so we’re probably the top two guys in the world that know this shit, and we know it better than anybody."
news,Trevor Milton,"Well, I don’t think that the market really – this is I think one of the things that many people have missed. The investors around the world right now are tired; they’re tired of like an executive sitting in an office behind his chair, making millions of dollars and, you know, forgetting about the average factory worker or even the consumer. So, there’s unparalleled contact between myself, the executive chairman and the founder of Nikola, and all of our fans. I mean, you heard in the previous segment about social media, there’s a lot of negative in social media, but there’s also a lot of positive that you can create with it. And I took the, uh, I took the decision I wanted to create the positive . . . . And through this social media experience, where people can actually feel like they’re part of it, they can talk to you, they can ask you questions, the transparency, the, the market they’re just tired of the older executive that just don’t care. And that’s why you see the market evaluation of Nikola do well is because finally there’s executives out there that they can talk to, that they can voice their problems, their opinions with and they actually get a response. Go on my Twitter Nikola Trevor and you’ll see . . . you’ll literally see answers to probably two thirds of every tweet out there. "
trial,Trevor Milton,that’s how you build a foundation. Love it.
youtube,Trevor Milton,"This isn’t just a pusher like a lot of vehicles that they unveil or just vehicles that don’t actually function. . . . This is a fully functioning, you know, vehicle, which is really incredible. You can go through, you can, you know, we can change out pretty much everything we want, all the temperatures. I mean this is a fully functioning vehicle. It’s not just a not just a pusher. It’s what they call in the automotive world a vehicle that they just push and it doesn’t move. . . . "
stream,Trevor Milton,"We’re building out the hydrogen station right now globally. In America we’ve already got the largest hydrogen station in the western hemisphere at our headquarters. Can produce over 1,000 kilograms a day on site, we’re planning to expand that up to, up to essentially eight tons, which is about 8,000 kilograms a day. That’ll be done in Phoenix, Arizona. The station’s already up and operational for pumping right now. "
news,Trevor Milton,But one thing that’s really interesting about hydrogen is that you can create hundreds of megawatt hours of energy into hydrogen in times of the day where it would all be wasted anyways. And so it’s one of those – and energy is so cheap now that this is one point I’ve told people. If you pull energy out on your car in California you’re gonna pay – you can pay anywhere from 12 to 30 cents a kilowatt hour in California for energy. Depends on where you’re at. When I produce hydrogen I’m paying under 4 cents everywhere I go. And that’s because we’re doing it behind the grid in large quantities and that’s where people fill up. So what we’re able to do is really drive down the cost of energy. It might be less efficient; that’s true. But it’s actually cheaper per mile. (Emphasis added).
news,Trevor Milton,"Yeah, that’s, uh, that was a big problem we tackled. That’s why we came into the market. We saw an opportunity to bring the cost of hydrogen down going zero emission and putting it on parity or lower than diesel. And that’s the first time in history that’s been able to be done. So it went from about $16 a kilogram, we’re down now below $4 a kilogram and there’s lots of reasons for that. But the main one is standardization of a hydrogen station worldwide has allowed us to drive that cost down dramatically."
stream,Trevor Milton,"2nd major point. IPO. I am getting ready to go on a media blitz and the most critical item in our business model is that we don’t have stations. I would like to announce this on Monday as huge news. This will help our stock, create much stronger following and base layers of investors and it also will ease the criticism I am going to get going into interviews. I believe our PIPE and SPAC will be very happy to hear we are moving on our stations and not delaying.  "
twitter,Trevor Milton,"I love both BEV & Hydrogen. Here’s the breakdown to combat all the lies. A loaded truck w/full weight & average weather conditions. H2 is now under $4 per kg and working on sub $3 per kg. . . . 15 min full [sic] time & 10,000 lbs lighter . . . . Before anyone goes and slams me about cost of hydrogen, we don’t produce it in the city, we do it behind the meter at about $.04 / kWh on PPP clean energy. That’s why hydrogen makes sense for long haul. You’re not fighting utilities and rates."
podcast,Trevor Milton,"So the energy on the freeway, we, we, we tap directly into the main federal transmission lines and we contract directly with groups . . . an example would be like, you know, um, would be like a Tennessee Valley Authority. . . . So out on the freeways where the federal transmission lines are, and we can tap in, and we’ve, we’ve already preplanned all these, these locations where they can go. Um, and we’re gobbling up the best locations right now. "
podcast,Trevor Milton,"Soon I’ll be announcing when we’re going to show off the Badger to the whole world. And this thing is insanity. It is the most beautiful truck I think the world has ever seen. It’s a fully functioning vehicle inside and outside, HVAC, and everything, windows, all of it works. I shouldn’t say all of it – I’ll probably have a couple of pieces that’ll break on me, but hey, that’s part of the process of building the truck, but it’s a real real [sic] truck. It’s not just some mock up thing that other people have done. This is a real, real truck."
podcast,Trevor Milton,"So when we built all this technology, we had billions of dollars spent on the electrification platforms for our big trucks. I know I could take that money, all that technology that’s been built, and port it over to the most advanced pickup truck in the world. . . . Now, we’re going to use an existing OEM to build our Nikola Badgers. So we own all the tech. So all the cool stuff you guys want, the design, the inside, the connectivity with your phone . . . all the e-axles or, you know the electric motors, the batteries, the controls, all that’s done by Nikola. . . . "
podcast,Trevor Milton,"Yeah, the battery supply from the sale comes from GM, the cells and the module. The rest of the vehicle, like the over-air updating, the software, the controls, the infotainment, the design of the vehicle, the cab, the interior of the cab, even the, even the driver profile, we've been all the way down to suspension, that all comes from Nikola, with some support of GM’s integration team, but GM’s gonna handle the, they’ve already built a multi-billion dollar platform for their electric truck platform, so we’ve, we’ve took our technology and our existing Badger, we overlaid it on theirs, used what we could, implemented theirs, and then we built the rest around, um, around ours. So it’s probably 70 percent Nikola 30 percent GM when it comes to, um, the parts that are really important to us . . . . "
podcast,Trevor Milton,"Our margins are gigantic, and we have ten billion doll – ten – over ten billion dollars in preorder reservations like, like customers signed ready for us to deliver them trucks and it’s –  it’s just a great.  these are people who want to have -- what -- and why do those trucks – why do those shippers want to switch off diesel? Is it because of – they have goals in terms of greenhouse gases or is it they see this as the future and they wanna invest in it or is it cost?  No, real quick, I wanna correct something. Not letter of intents, they’re actually contracts. We’ve got –  Yeah, billions and billions of dollars with the contracts. So I want to be clear about that ‘cause a lot of people have thought that it’s just like, a non-committal thing, it’s not. These are like, sign on the dotted line, billions and billions and billions and billions of dollars in orders. Now, we have to deliver, and they can get out if we don’t d"
podcast,Trevor Milton,"Actually, as a matter of fact, you seen them increase. And I think they’re – which is really strange. At first I thought, oh, man, I wonder what this is going to do to – to – you know, to the – to everything. I had no idea. I don’t think anyone knew, right? And the orders actually came in – they’ve come in bigger and stronger, and we’ve had to turn a lot of people away. So for our hydrogen truck, we – we essentially have to pick and choose who we can work with because we’re sold out for so many years. "
podcast,Trevor Milton,"Once we got the technology nailed down, we actually have over 2,000 cycles on our battery, which would mean it would be more than a million-mile battery. It would actually – our battery beats the Tesla battery in every metric, in every situation, and it’s half the cost and it’s double the range. So, you know, for us, that was an exciting thing to be able to tell the world, and I actually appreciate the critics. I’m totally fine with it; I enjoy it. Because every time I prove them wrong, it drives them absolutely insane and they have to go back and admit they were wrong. For me, that’s the funnest part of it"
facebook,Trevor Milton," “the focus should be on the company and its world-changing mission, not me.”"
